Cliente,Cpf,Corrente,Poupanca,Saldo
Zuleide,66484326320,5678,256589,600.00,1
Amanda,43392574279,9123,658974,1000.00,2
Leticia,72608868207,2356,124578,1100.00,3
Ashley,11260434001,3645,891236,5000.00,4
Carlos,87517757350,6547,986532,1400.00,5
Eduarda,38878432156,6417,102365,12000.00,6

Gerente
Maria,96815019187,1234,362514,2000.00,7
Leidi,64478314594,5678,635241,8000.00,8
Carolina,53750475784,9123,595847,25.000,9
Andre,83438057204,2356,794613,29.000,10

Diretor
Alberto,54218073120,3645,917365,10.000,11
Karla,46515718918,6547,575953,69.587,12

Presidente
Debora,72068883309,5678,635241,15.00,13
